path	'C:/Users/aorfi/Documents/GitHub/Phys359/Compton Scattering/4brick.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=1, tm_hour=15, tm_min=21, tm_sec=0, tm_wday=0, tm_yday=91, tm_isdst=-1)
real_time	400.6
live_time	298.86

Channel	Counts
0	0
1	1
2	3
3	0
4	0
5	0
6	0
7	0
8	197
9	274
10	795
11	928
12	964
13	962
14	1010
15	1033
16	1050
17	1146
18	1100
19	1119
20	1119
21	996
22	1106
23	1041
24	1089
25	1111
26	1167
27	1163
28	1218
29	1250
30	1403
31	1614
32	1720
33	1988
34	2239
35	2335
36	2463
37	2298
38	2221
39	2119
40	2126
41	2032
42	1937
43	1900
44	1972
45	1930
46	1760
47	1766
48	1790
49	1734
50	1814
51	1795
52	1876
53	1817
54	1831
55	1941
56	1872
57	1919
58	1861
59	1865
60	1804
61	1810
62	1880
63	1955
64	1820
65	1757
66	1733
67	1731
68	1715
69	1655
70	1670
71	1743
72	1644
73	1614
74	1578
75	1660
76	1647
77	1614
78	1505
79	1592
80	1578
81	1504
82	1583
83	1540
84	1507
85	1546
86	1529
87	1552
88	1480
89	1546
90	1497
91	1414
92	1450
93	1524
94	1461
95	1488
96	1471
97	1533
98	1442
99	1499
100	1461
101	1441
102	1423
103	1412
104	1414
105	1357
106	1413
107	1381
108	1298
109	1337
110	1342
111	1336
112	1353
113	1340
114	1275
115	1244
116	1308
117	1356
118	1223
119	1350
120	1234
121	1232
122	1300
123	1232
124	1167
125	1178
126	1174
127	1310
128	1257
129	1100
130	1195
131	1222
132	1164
133	1135
134	1174
135	1183
136	1192
137	1175
138	1141
139	1199
140	1149
141	1128
142	1093
143	1153
144	1005
145	1075
146	1122
147	1118
148	1066
149	1103
150	1050
151	1107
152	1051
153	1038
154	1107
155	1070
156	1045
157	1058
158	1049
159	1083
160	1023
161	1066
162	1060
163	1084
164	1002
165	1004
166	1083
167	998
168	998
169	1028
170	990
171	1002
172	952
173	964
174	969
175	1025
176	984
177	971
178	951
179	1051
180	1035
181	986
182	990
183	1048
184	1022
185	984
186	946
187	967
188	960
189	961
190	912
191	994
192	969
193	975
194	985
195	1019
196	958
197	983
198	956
199	941
200	909
201	969
202	989
203	914
204	971
205	942
206	966
207	972
208	897
209	982
210	922
211	984
212	962
213	949
214	944
215	959
216	983
217	1005
218	950
219	991
220	961
221	997
222	945
223	968
224	937
225	1000
226	965
227	939
228	942
229	967
230	919
231	894
232	956
233	865
234	854
235	894
236	916
237	889
238	879
239	923
240	827
241	886
242	838
243	832
244	799
245	819
246	780
247	779
248	774
249	749
250	716
251	740
252	759
253	701
254	695
255	692
256	677
257	630
258	621
259	622
260	611
261	629
262	573
263	576
264	524
265	543
266	526
267	507
268	485
269	469
270	467
271	492
272	444
273	470
274	491
275	445
276	431
277	427
278	458
279	436
280	394
281	418
282	434
283	422
284	416
285	402
286	402
287	400
288	431
289	405
290	409
291	420
292	422
293	404
294	400
295	426
296	425
297	400
298	408
299	422
300	380
301	390
302	381
303	413
304	383
305	408
306	360
307	380
308	416
309	417
310	401
311	423
312	444
313	438
314	429
315	454
316	442
317	473
318	444
319	482
320	485
321	491
322	505
323	575
324	599
325	593
326	553
327	610
328	607
329	709
330	714
331	743
332	763
333	849
334	787
335	869
336	955
337	1010
338	1131
339	1259
340	1202
341	1324
342	1410
343	1589
344	1645
345	1754
346	1805
347	1977
348	2061
349	2190
350	2241
351	2433
352	2485
353	2584
354	2662
355	2709
356	2972
357	2973
358	2970
359	3100
360	3122
361	3275
362	3207
363	3089
364	3039
365	2973
366	2953
367	2924
368	2799
369	2729
370	2686
371	2444
372	2384
373	2260
374	2191
375	2041
376	1862
377	1670
378	1441
379	1378
380	1271
381	1149
382	1021
383	930
384	793
385	676
386	627
387	542
388	432
389	377
390	334
391	270
392	256
393	182
394	175
395	130
396	116
397	100
398	77
399	54
400	58
401	29
402	28
403	17
404	27
405	17
406	22
407	14
408	10
409	12
410	6
411	10
412	5
413	7
414	8
415	10
416	5
417	11
418	4
419	6
420	3
421	5
422	5
423	5
424	8
425	6
426	8
427	3
428	8
429	4
430	7
431	2
432	9
433	4
434	6
435	10
436	9
437	3
438	6
439	3
440	3
441	6
442	5
443	6
444	8
445	5
446	5
447	4
448	6
449	7
450	6
451	7
452	10
453	1
454	3
455	2
456	3
457	6
458	3
459	3
460	3
461	8
462	8
463	13
464	2
465	7
466	7
467	8
468	5
469	6
470	5
471	4
472	8
473	5
474	2
475	5
476	1
477	4
478	3
479	5
480	3
481	2
482	4
483	4
484	5
485	8
486	5
487	4
488	3
489	5
490	8
491	4
492	8
493	5
494	2
495	2
496	1
497	6
498	7
499	5
500	7
501	2
502	6
503	1
504	6
505	3
506	6
507	4
508	4
509	6
510	5
511	9
512	7
513	1
514	6
515	9
516	2
517	8
518	4
519	4
520	6
521	1
522	3
523	13
524	2
525	4
526	4
527	1
528	3
529	10
530	4
531	4
532	4
533	3
534	5
535	3
536	6
537	5
538	4
539	5
540	4
541	2
542	5
543	3
544	1
545	3
546	1
547	3
548	5
549	3
550	4
551	4
552	6
553	3
554	8
555	3
556	4
557	7
558	6
559	4
560	5
561	3
562	6
563	5
564	3
565	2
566	4
567	2
568	4
569	7
570	5
571	4
572	3
573	4
574	4
575	5
576	3
577	6
578	1
579	5
580	1
581	6
582	4
583	2
584	6
585	4
586	2
587	5
588	1
589	5
590	0
591	2
592	1
593	6
594	2
595	1
596	2
597	4
598	3
599	6
600	3
601	1
602	4
603	4
604	6
605	1
606	2
607	3
608	5
609	6
610	5
611	5
612	1
613	7
614	2
615	6
616	3
617	5
618	2
619	3
620	6
621	5
622	5
623	2
624	2
625	7
626	2
627	7
628	4
629	5
630	1
631	6
632	2
633	2
634	8
635	5
636	3
637	0
638	3
639	3
640	5
641	1
642	3
643	1
644	4
645	6
646	4
647	4
648	2
649	0
650	2
651	1
652	7
653	1
654	2
655	2
656	1
657	3
658	6
659	2
660	1
661	3
662	1
663	1
664	4
665	4
666	3
667	2
668	4
669	3
670	3
671	2
672	2
673	4
674	4
675	4
676	1
677	1
678	2
679	1
680	3
681	0
682	6
683	3
684	4
685	3
686	5
687	1
688	3
689	3
690	2
691	4
692	0
693	0
694	0
695	1
696	3
697	0
698	4
699	2
700	1
701	2
702	3
703	2
704	1
705	1
706	0
707	3
708	2
709	1
710	3
711	0
712	0
713	1
714	1
715	0
716	1
717	1
718	3
719	1
720	3
721	1
722	3
723	1
724	1
725	2
726	2
727	1
728	1
729	4
730	4
731	2
732	2
733	1
734	2
735	2
736	1
737	3
738	1
739	1
740	4
741	1
742	1
743	4
744	3
745	1
746	1
747	1
748	2
749	3
750	2
751	1
752	2
753	4
754	2
755	4
756	2
757	0
758	3
759	4
760	7
761	0
762	3
763	5
764	2
765	2
766	3
767	1
768	1
769	1
770	2
771	4
772	4
773	2
774	5
775	6
776	0
777	5
778	5
779	7
780	8
781	3
782	2
783	3
784	7
785	1
786	4
787	2
788	4
789	9
790	6
791	7
792	6
793	6
794	2
795	4
796	4
797	7
798	10
799	4
800	2
801	5
802	4
803	8
804	5
805	7
806	6
807	3
808	6
809	9
810	1
811	3
812	2
813	6
814	3
815	0
816	3
817	4
818	1
819	2
820	6
821	5
822	3
823	2
824	3
825	2
826	3
827	7
828	4
829	5
830	1
831	4
832	1
833	3
834	3
835	3
836	3
837	2
838	1
839	1
840	1
841	1
842	2
843	0
844	0
845	0
846	1
847	1
848	1
849	1
850	0
851	0
852	0
853	0
854	2
855	2
856	2
857	0
858	1
859	0
860	1
861	0
862	0
863	1
864	0
865	1
866	1
867	0
868	0
869	0
870	2
871	2
872	0
873	0
874	0
875	0
876	1
877	0
878	0
879	1
880	1
881	0
882	0
883	0
884	0
885	1
886	0
887	0
888	0
889	2
890	0
891	1
892	1
893	2
894	0
895	0
896	1
897	1
898	0
899	0
900	0
901	1
902	0
903	1
904	0
905	0
906	0
907	0
908	1
909	0
910	0
911	0
912	0
913	1
914	1
915	1
916	0
917	1
918	0
919	1
920	1
921	0
922	1
923	0
924	0
925	0
926	2
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	2
935	0
936	0
937	0
938	1
939	0
940	0
941	0
942	0
943	0
944	1
945	0
946	1
947	0
948	0
949	1
950	0
951	0
952	1
953	0
954	2
955	2
956	0
957	0
958	1
959	1
960	0
961	0
962	0
963	0
964	2
965	1
966	2
967	0
968	0
969	2
970	0
971	3
972	1
973	0
974	2
975	1
976	0
977	2
978	1
979	0
980	1
981	0
982	0
983	0
984	2
985	1
986	1
987	0
988	0
989	0
990	1
991	0
992	0
993	0
994	2
995	0
996	1
997	1
998	1
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	1
1012	0
1013	0
1014	0
1015	0
1016	0
1017	0
1018	1
1019	0
1020	2
1021	0
1022	0
1023	0
