path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/al_40deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=1, tm_hour=14, tm_min=31, tm_sec=23, tm_wday=0, tm_yday=91, tm_isdst=-1)
real_time	401.5
live_time	347.96

Channel	Counts
0	0
1	0
2	2
3	0
4	0
5	0
6	0
7	1
8	77
9	90
10	267
11	312
12	305
13	325
14	311
15	345
16	334
17	398
18	382
19	396
20	369
21	401
22	378
23	355
24	361
25	441
26	428
27	487
28	519
29	555
30	590
31	694
32	756
33	813
34	933
35	1006
36	1074
37	1114
38	1069
39	1082
40	982
41	960
42	869
43	867
44	834
45	828
46	841
47	858
48	779
49	816
50	844
51	826
52	875
53	842
54	933
55	925
56	884
57	997
58	942
59	932
60	933
61	881
62	963
63	996
64	970
65	988
66	949
67	934
68	951
69	884
70	961
71	930
72	889
73	932
74	955
75	931
76	960
77	885
78	1005
79	965
80	970
81	1006
82	1013
83	1008
84	1050
85	1060
86	1054
87	1209
88	1135
89	1231
90	1280
91	1326
92	1281
93	1306
94	1369
95	1452
96	1397
97	1382
98	1338
99	1320
100	1216
101	1185
102	1124
103	1067
104	909
105	853
106	847
107	762
108	747
109	688
110	614
111	644
112	553
113	515
114	485
115	478
116	484
117	413
118	404
119	427
120	389
121	388
122	360
123	406
124	379
125	332
126	360
127	345
128	345
129	332
130	326
131	326
132	323
133	307
134	327
135	280
136	309
137	270
138	293
139	255
140	297
141	261
142	299
143	304
144	259
145	277
146	266
147	282
148	260
149	269
150	270
151	277
152	270
153	277
154	242
155	291
156	235
157	242
158	271
159	269
160	263
161	270
162	248
163	291
164	255
165	266
166	253
167	236
168	262
169	245
170	233
171	263
172	225
173	238
174	254
175	252
176	247
177	244
178	217
179	235
180	225
181	219
182	243
183	216
184	216
185	200
186	226
187	220
188	161
189	214
190	198
191	249
192	184
193	207
194	202
195	190
196	172
197	161
198	179
199	185
200	184
201	180
202	193
203	192
204	176
205	178
206	183
207	201
208	177
209	203
210	172
211	216
212	174
213	178
214	161
215	179
216	167
217	187
218	167
219	177
220	176
221	198
222	185
223	191
224	195
225	162
226	201
227	202
228	206
229	177
230	198
231	193
232	175
233	196
234	193
235	207
236	210
237	191
238	167
239	221
240	206
241	227
242	187
243	232
244	221
245	217
246	218
247	242
248	223
249	221
250	241
251	228
252	222
253	289
254	295
255	267
256	299
257	281
258	294
259	300
260	337
261	327
262	335
263	338
264	355
265	396
266	428
267	410
268	390
269	414
270	482
271	483
272	446
273	468
274	509
275	531
276	543
277	552
278	561
279	559
280	545
281	572
282	519
283	520
284	554
285	553
286	536
287	547
288	481
289	482
290	520
291	493
292	432
293	410
294	385
295	405
296	361
297	336
298	294
299	274
300	280
301	294
302	247
303	264
304	204
305	196
306	197
307	167
308	169
309	171
310	180
311	142
312	127
313	165
314	118
315	131
316	113
317	108
318	121
319	107
320	120
321	127
322	120
323	118
324	117
325	128
326	128
327	131
328	109
329	94
330	101
331	104
332	96
333	98
334	87
335	71
336	86
337	94
338	81
339	71
340	84
341	66
342	63
343	59
344	61
345	70
346	61
347	53
348	54
349	48
350	43
351	55
352	41
353	28
354	54
355	41
356	42
357	35
358	30
359	40
360	27
361	26
362	21
363	27
364	22
365	21
366	27
367	31
368	25
369	23
370	18
371	21
372	29
373	12
374	21
375	16
376	19
377	15
378	5
379	8
380	8
381	12
382	8
383	21
384	13
385	11
386	9
387	10
388	13
389	7
390	8
391	5
392	10
393	10
394	4
395	8
396	4
397	9
398	9
399	10
400	9
401	3
402	10
403	8
404	4
405	9
406	7
407	5
408	8
409	6
410	5
411	6
412	8
413	10
414	12
415	10
416	6
417	5
418	1
419	7
420	6
421	10
422	4
423	9
424	7
