path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod2_15deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=3, tm_mday=27, tm_hour=14, tm_min=29, tm_sec=55, tm_wday=2, tm_yday=86, tm_isdst=-1)
real_time	453.68
live_time	259.74

Channel	Counts
0	0
1	8
2	5
3	0
4	0
5	0
6	0
7	2
8	1007
9	1406
10	4222
11	4896
12	4861
13	4991
14	5257
15	5954
16	6427
17	6872
18	7028
19	6875
20	6329
21	5710
22	5553
23	5426
24	5333
25	5478
26	5387
27	5682
28	6192
29	7070
30	8465
31	10840
32	13827
33	17149
34	20281
35	22510
36	23084
37	22072
38	19981
39	17783
40	15207
41	13519
42	12267
43	11347
44	9983
45	8676
46	7214
47	6580
48	5613
49	4945
50	4720
51	4626
52	4585
53	4652
54	4699
55	4902
56	4864
57	4893
58	5063
59	5005
60	4989
61	5052
62	5143
63	5078
64	5082
65	5086
66	5031
67	5074
68	5002
69	4881
70	5125
71	5193
72	5109
73	5227
74	5304
75	5209
76	5110
77	5361
78	5276
79	5385
80	5329
81	5538
82	5500
83	5607
84	5579
85	5702
86	5838
87	5958
88	6124
89	5971
90	6219
91	6208
92	6257
93	6510
94	6492
95	6598
96	6528
97	6556
98	6582
99	6579
100	6504
101	6439
102	6375
103	6359
104	6327
105	6202
106	6072
107	6151
108	5934
109	6020
110	5748
111	5801
112	5805
113	5777
114	5634
115	5709
116	5719
117	5596
118	5552
119	5677
120	5643
121	5617
122	5375
123	5557
124	5462
125	5367
126	5425
127	5458
128	5304
129	5366
130	5305
131	5296
132	5313
133	5293
134	5183
135	5189
136	5272
137	5226
138	5098
139	5240
140	5189
141	5082
142	5075
143	5192
144	5165
145	5208
146	5102
147	5069
148	4995
149	4906
150	4895
151	5002
152	4962
153	5011
154	4931
155	4927
156	4981
157	4963
158	4779
159	5057
160	4794
161	4912
162	4818
163	4919
164	4766
165	4826
166	4822
167	4864
168	4743
169	4633
170	4629
171	4662
172	4825
173	4595
174	4659
175	4776
176	4701
177	4561
178	4753
179	4736
180	4682
181	4703
182	4800
183	4728
184	4727
185	4731
186	4753
187	4598
188	4659
189	4727
190	4715
191	4829
192	4596
193	4693
194	4669
195	4739
196	4701
197	4743
198	4694
199	4767
200	4674
201	4622
202	4765
203	4676
204	4693
205	4758
206	4871
207	4742
208	4753
209	4679
210	4715
211	4725
212	4715
213	4616
214	4693
215	4813
216	4801
217	4796
218	4897
219	4899
220	4598
221	4861
222	4830
223	4831
224	4855
225	4866
226	4826
227	4838
228	4908
229	4851
230	4900
231	4983
232	4864
233	4913
234	4754
235	4886
236	4774
237	4821
238	4925
239	4983
240	4845
241	4852
242	4721
243	4852
244	4657
245	4773
246	4553
247	4639
248	4604
249	4654
250	4488
251	4593
252	4554
253	4599
254	4410
255	4589
256	4432
257	4320
258	4344
259	4153
260	4172
261	4155
262	4097
263	4121
264	4080
265	4050
266	4069
267	3993
268	3945
269	3969
270	3866
271	3892
272	3742
273	3902
274	3880
275	3844
276	3786
277	3714
278	3539
279	3744
280	3627
281	3592
282	3538
283	3504
284	3443
285	3504
286	3422
287	3339
288	3157
289	3300
290	3189
291	3229
292	3151
293	3143
294	2964
295	2968
296	2921
