path	'/Users/Elisa/Documents/GitHub/Phys359/Compton Scattering/norod_32deg.Chn'
start_time	time.struct_time(tm_year=2019, tm_mon=4, tm_mday=5, tm_hour=13, tm_min=19, tm_sec=16, tm_wday=4, tm_yday=95, tm_isdst=-1)
real_time	400.76
live_time	296.82

Channel	Counts
0	0
1	3
2	0
3	0
4	0
5	0
6	0
7	0
8	278
9	386
10	1257
11	1461
12	1373
13	1483
14	1507
15	1650
16	1728
17	1784
18	1749
19	1760
20	1626
21	1715
22	1604
23	1545
24	1597
25	1585
26	1616
27	1727
28	1741
29	1843
30	2085
31	2485
32	3019
33	3485
34	3966
35	4551
36	4596
37	4646
38	4535
39	4271
40	3679
41	3410
42	3076
43	2963
44	2723
45	2574
46	2378
47	2201
48	1928
49	1918
50	1820
51	1756
52	1882
53	1852
54	1810
55	1845
56	1926
57	1994
58	1885
59	2006
60	1996
61	2054
62	2015
63	1981
64	2039
65	2012
66	2008
67	1949
68	1907
69	2035
70	1965
71	2035
72	1910
73	1945
74	2010
75	1977
76	1995
77	2020
78	2020
79	2029
80	1972
81	2143
82	2073
83	2032
84	2186
85	2215
86	2156
87	2304
88	2389
89	2424
90	2424
91	2414
92	2550
93	2557
94	2565
95	2738
96	2642
97	2574
98	2582
99	2555
100	2533
101	2510
102	2259
103	2361
104	2116
105	2154
106	2129
107	1988
108	1890
109	1949
110	1897
111	1793
112	1751
113	1754
114	1716
115	1725
116	1710
117	1660
118	1632
119	1656
120	1624
121	1556
122	1650
123	1605
124	1508
125	1594
126	1508
127	1612
128	1457
129	1539
130	1454
131	1501
132	1442
133	1469
134	1430
135	1495
136	1524
137	1491
138	1358
139	1395
140	1404
141	1465
142	1394
143	1479
144	1440
145	1396
146	1438
147	1445
148	1401
149	1462
150	1366
151	1329
152	1434
153	1427
154	1359
155	1345
156	1319
157	1373
158	1417
159	1413
160	1375
161	1358
162	1410
163	1358
164	1327
165	1388
166	1318
167	1378
168	1350
169	1310
170	1345
171	1343
172	1302
173	1347
174	1278
175	1311
176	1269
177	1268
178	1277
179	1304
180	1340
181	1314
182	1279
183	1375
184	1339
185	1257
186	1265
187	1304
188	1306
189	1312
190	1314
191	1235
192	1253
193	1269
194	1259
195	1321
196	1316
197	1301
198	1356
199	1407
200	1308
201	1350
202	1262
203	1335
204	1288
205	1299
206	1261
207	1330
208	1273
209	1318
210	1387
211	1353
212	1308
213	1378
214	1280
215	1312
216	1272
217	1351
218	1349
219	1341
220	1296
221	1319
222	1357
223	1352
224	1373
225	1261
226	1353
227	1384
228	1309
229	1360
230	1366
231	1355
232	1387
233	1412
234	1383
235	1333
236	1320
237	1384
238	1407
239	1451
240	1408
241	1386
242	1451
243	1429
244	1368
245	1386
246	1358
247	1352
248	1318
249	1335
250	1356
251	1403
252	1318
253	1360
254	1323
255	1298
256	1270
257	1320
258	1238
259	1211
260	1273
261	1217
262	1198
263	1251
264	1229
265	1230
266	1235
267	1235
268	1139
269	1170
270	1210
271	1120
272	1162
273	1099
274	1086
275	1102
276	1122
277	1093
278	1087
279	1091
280	1112
281	1108
282	1112
283	1062
284	1026
285	1062
286	1064
287	1031
288	1131
289	981
290	1072
291	1078
292	1095
293	1065
294	1100
295	1137
296	1121
297	1121
298	1138
299	1168
300	1199
301	1081
302	1211
303	1232
304	1198
305	1247
306	1226
307	1247
308	1258
309	1270
310	1257
311	1317
312	1248
313	1297
314	1328
315	1359
316	1376
317	1446
318	1409
319	1416
320	1467
321	1516
322	1487
323	1420
324	1518
325	1554
326	1543
327	1544
328	1613
329	1601
330	1644
331	1709
332	1647
333	1639
334	1664
335	1843
336	1785
337	1719
338	1805
339	1831
340	1859
341	1908
342	1826
343	1852
344	1886
345	1975
346	1898
347	1877
348	1935
349	2022
350	1950
351	1973
352	2083
353	2014
354	2070
355	2045
356	1957
357	2002
358	2046
359	2067
360	1993
361	1955
362	1976
363	1851
364	1915
365	1856
366	1807
367	1780
368	1692
369	1732
370	1591
371	1580
372	1438
373	1387
374	1279
375	1205
376	1143
377	1078
378	986
379	873
380	866
381	762
382	678
383	627
384	544
385	506
386	493
387	371
388	337
389	293
390	242
391	216
392	170
393	157
394	146
395	111
396	92
397	85
398	71
399	48
400	45
401	32
402	28
403	18
404	20
405	18
406	15
407	10
408	7
409	12
410	3
411	8
412	13
413	9
414	4
415	8
416	7
417	9
418	8
419	6
420	6
421	6
422	4
423	5
424	6
425	9
426	7
427	5
428	9
429	10
430	6
431	7
432	6
433	10
434	2
435	9
436	6
437	4
438	5
439	7
440	0
441	9
442	6
443	9
444	6
445	7
446	5
447	7
448	5
449	7
450	4
451	4
452	5
453	6
454	4
455	4
456	4
457	6
458	4
459	3
460	2
461	11
462	6
463	2
464	6
465	6
466	3
467	5
468	3
469	4
470	3
471	3
472	2
473	3
474	7
475	3
476	3
477	3
478	8
479	5
480	6
481	4
482	4
483	2
484	2
485	3
486	7
487	9
488	3
489	5
490	7
491	6
492	2
493	1
494	4
495	1
496	6
497	5
498	3
499	6
500	4
501	7
502	1
503	10
504	3
505	6
506	5
507	5
508	7
509	9
510	6
511	8
512	4
513	5
514	4
515	4
516	2
517	5
518	11
519	9
520	4
521	7
522	1
523	4
524	5
525	7
526	4
527	8
528	7
529	1
530	3
531	2
532	4
533	6
534	2
535	3
536	2
537	2
538	2
539	4
540	6
541	4
542	3
543	4
544	1
545	3
546	4
547	6
548	3
549	4
550	4
551	8
552	5
553	4
554	4
555	2
556	5
557	7
558	5
559	7
560	5
561	0
562	4
563	3
564	0
565	0
566	4
567	4
568	3
569	2
570	5
571	1
572	3
573	3
574	6
575	4
576	3
577	6
578	7
579	4
580	1
581	2
582	3
583	1
584	4
585	4
586	1
587	3
588	3
589	7
590	6
591	2
592	2
593	5
594	2
595	1
596	3
597	3
598	6
599	5
600	4
601	7
602	3
603	6
604	4
605	2
606	3
607	5
608	4
609	5
610	1
611	4
612	4
613	2
614	4
615	3
616	4
617	4
618	8
619	6
620	6
621	1
622	1
623	5
624	4
625	2
626	4
627	4
628	4
629	5
630	4
631	3
632	5
633	5
634	7
635	5
636	5
637	4
638	7
639	0
640	2
641	3
642	0
643	4
644	1
645	3
646	1
647	6
648	2
649	5
650	0
651	2
652	3
653	4
654	1
655	7
656	5
657	1
658	0
659	2
660	6
661	3
662	5
663	2
664	4
665	2
666	3
667	2
668	5
669	2
670	2
671	3
672	1
673	1
674	3
675	0
676	1
677	2
678	0
679	1
680	0
681	2
682	1
683	0
684	0
685	2
686	2
687	1
688	1
689	3
690	4
691	1
692	3
693	2
694	3
695	0
696	0
697	4
698	2
699	0
700	4
701	4
702	2
703	2
704	3
705	0
706	4
707	3
708	2
709	2
710	3
711	1
712	0
713	0
714	3
715	2
716	0
717	1
718	1
719	2
720	0
721	1
722	0
723	0
724	1
725	0
726	0
727	3
728	3
729	1
730	1
731	1
732	3
733	0
734	2
735	0
736	0
737	4
738	1
739	1
740	0
741	4
742	1
743	0
744	1
745	2
746	1
747	1
748	1
749	2
750	1
751	0
752	2
753	2
754	1
755	3
756	0
757	0
758	3
759	2
760	2
761	1
762	2
763	0
764	1
765	1
766	0
767	4
768	1
769	3
770	2
771	2
772	3
773	0
774	2
775	5
776	5
777	4
778	2
779	2
780	2
781	8
782	1
783	1
784	5
785	2
786	1
787	5
788	2
789	3
790	6
791	2
792	1
793	1
794	1
795	3
796	0
797	5
798	1
799	5
800	5
801	2
802	2
