reality	'77-0.15*x'
ex	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
ey	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
xdistribution	'normal'
ydistribution	'normal'

x	y
1.0	76.6978820885
2.0	79.0452051761
3.0	74.7463318737
4.0	86.9242584363
5.0	86.7513727781
6.0	70.0755132666
7.0	75.4795030131
8.0	62.9483046563
9.0	77.5015086531
10.0	85.1877126063
11.0	85.2221876184
12.0	65.1571764116
13.0	76.5969850194
14.0	77.4289037136
15.0	75.8911531344
16.0	56.9529795435
17.0	86.7329239751
18.0	62.0758652609
19.0	70.2620969397
20.0	66.3674774803
21.0	73.4034162267
22.0	68.6828795089
23.0	63.4024731803
24.0	67.2835490901
25.0	79.0415476837
26.0	70.4069762044
27.0	77.4818769605
28.0	79.1092571191
29.0	73.4403347683
30.0	73.8757448586
31.0	67.6127268842
32.0	70.6435286503
33.0	81.8121019742
34.0	72.5133533678
35.0	82.9700962504
36.0	72.4035531827
37.0	83.5596384029
38.0	59.8649166187
39.0	63.7174278186
40.0	73.1981910999
41.0	72.9796804187
42.0	65.7142056365
43.0	66.4928257337
44.0	67.1381796247
45.0	76.2387340686
46.0	74.162884892
47.0	76.4947557833
48.0	69.6629716823
49.0	72.1827692863
50.0	74.2718339
51.0	63.6259437086
52.0	57.5248601848
53.0	46.9190714377
54.0	71.7565126436
55.0	62.1396058051
56.0	54.8227500209
57.0	64.0690084908
58.0	72.1783350388
59.0	68.7734459309
60.0	66.7558485356
61.0	63.6327020395
62.0	78.9113000422
63.0	72.9427618689
64.0	56.4919890273
65.0	63.0758207619
66.0	68.6793230665
67.0	64.3681698667
68.0	71.9752800673
69.0	70.4668346638
70.0	56.4151074924
71.0	60.27846442
72.0	68.7622899414
73.0	67.5457553738
74.0	70.8918261805
75.0	71.9831702609
76.0	62.0329073783
77.0	66.7246916101
78.0	73.4219867114
79.0	64.7571688135
80.0	68.2690275676
81.0	65.0355887667
82.0	58.4181663045
83.0	52.9794269387
84.0	60.0419831188
85.0	67.3447331914
86.0	61.7518933244
87.0	62.6417490791
88.0	62.3752269968
89.0	73.9477544547
90.0	58.7426287463
91.0	58.7080282954
92.0	62.8894665587
93.0	65.079273852
94.0	74.1687606247
95.0	61.4128441896
96.0	56.2074454957
97.0	67.5859000833
98.0	72.8036275245
99.0	62.973856496
100.0	75.7918494949
