reality	'400.0/(1+(x-60)**2/24**2)+100.0/(1+(x-120)**2/30**2)+100'
ex	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
ey	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
xdistribution	'normal'
ydistribution	'normal'

x	y	ey	ex
1.0	157.125717546	10	0
3.0101010101	182.10112874	10	0
5.0202020202	151.794130666	10	0
7.0303030303	172.028490306	10	0
9.0404040404	186.028023317	10	0
11.0505050505	172.620958357	10	0
13.0606060606	179.31304989	10	0
15.0707070707	199.339241279	10	0
17.0808080808	203.731461536	10	0
19.0909090909	200.51318449	10	0
21.101010101	229.350023934	10	0
23.1111111111	240.426948443	10	0
25.1212121212	242.306712215	10	0
27.1313131313	251.263382588	10	0
29.1414141414	249.298694653	10	0
31.1515151515	276.505129663	10	0
33.1616161616	287.765248889	10	0
35.1717171717	293.861646567	10	0
37.1818181818	321.832118545	10	0
39.1919191919	347.711640826	10	0
41.202020202	362.413122578	10	0
43.2121212121	381.979507811	10	0
45.2222222222	412.578117156	10	0
47.2323232323	420.814577894	10	0
49.2424242424	436.35854358	10	0
51.2525252525	473.872822463	10	0
53.2626262626	509.867221465	10	0
55.2727272727	513.048868949	10	0
57.2828282828	502.774329946	10	0
59.2929292929	517.368462141	10	0
61.303030303	519.663265657	10	0
63.3131313131	530.980692505	10	0
65.3232323232	476.14058654	10	0
67.3333333333	483.888202715	10	0
69.3434343434	473.8466006	10	0
71.3535353535	449.784097204	10	0
73.3636363636	435.129620039	10	0
75.3737373737	418.732520827	10	0
77.3838383838	416.145762394	10	0
79.3939393939	366.345319999	10	0
81.404040404	361.139669941	10	0
83.4141414141	340.335336961	10	0
85.4242424242	329.786999196	10	0
87.4343434343	338.227001068	10	0
89.4444444444	305.200026092	10	0
91.4545454545	305.100462356	10	0
93.4646464646	308.962140535	10	0
95.4747474747	282.879585345	10	0
97.4848484848	264.655572617	10	0
99.4949494949	266.128475964	10	0
101.505050505	262.866240878	10	0
103.515151515	270.682108465	10	0
105.525252525	271.043966802	10	0
107.535353535	280.777633785	10	0
109.545454545	259.737567145	10	0
111.555555556	255.234809973	10	0
113.565656566	269.488147552	10	0
115.575757576	270.520189496	10	0
117.585858586	244.273107418	10	0
119.595959596	253.983277591	10	0
121.606060606	264.42739855	10	0
123.616161616	246.693588396	10	0
125.626262626	235.315817604	10	0
127.636363636	233.914316505	10	0
129.646464646	224.054827337	10	0
131.656565657	230.829148398	10	0
133.666666667	210.896981163	10	0
135.676767677	227.197229519	10	0
137.686868687	225.5072039	10	0
139.696969697	202.681298997	10	0
141.707070707	204.714860079	10	0
143.717171717	195.056529804	10	0
145.727272727	180.70058945	10	0
147.737373737	186.556083237	10	0
149.747474747	181.376248478	10	0
151.757575758	165.624417764	10	0
153.767676768	166.323405986	10	0
155.777777778	155.69377105	10	0
157.787878788	164.123310502	10	0
159.797979798	167.069561989	10	0
161.808080808	157.337125334	10	0
163.818181818	131.220534671	10	0
165.828282828	149.524687471	10	0
167.838383838	146.093051371	10	0
169.848484848	141.959487706	10	0
171.858585859	142.25437965	10	0
173.868686869	132.401776079	10	0
175.878787879	133.4269366	10	0
177.888888889	142.035019971	10	0
179.898989899	134.401985401	10	0
181.909090909	134.618377135	10	0
183.919191919	144.197468725	10	0
185.929292929	116.062499348	10	0
187.939393939	134.479794281	10	0
189.949494949	137.765243174	10	0
191.95959596	113.286824628	10	0
193.96969697	99.8055021987	10	0
195.97979798	133.907186233	10	0
197.98989899	126.025074682	10	0
200.0	118.107319608	10	0
